[[204, 116], [144, 118], [126, 139], [196, 140]]
[[335, 122], [276, 117], [270, 139], [337, 138]]
[[459, 112], [406, 118], [413, 130], [479, 130]]
[[174, 170], [95, 170], [69, 201], [158, 205]]
[[343, 168], [267, 169], [264, 204], [351, 204]]
[[509, 165], [428, 167], [445, 199], [542, 199]]
[[126, 268], [9, 262], [4, 340], [84, 340]]
[[369, 250], [253, 257], [245, 331], [386, 326]]
[[593, 249], [492, 257], [526, 332], [639, 329]]
